Species,Feret
P.alata,53.94
P.alata,54.23
P.alata,54.33
P.alata,54.36
P.alata,54.53
P.alata,54.53
P.alata,54.53
P.alata,54.69
P.alata,54.69
P.alata,54.72
P.alata,55.29
P.alata,55.29
P.alata,55.29
P.alata,55.92
P.alata,56.21
P.alata,56.21
P.alata,56.47
P.alata,56.47
P.alata,56.51
P.alata,56.62
P.alata,56.69
P.alata,57.52
P.alata,58.2
P.alata,58.2
P.alata,58.23
P.alata,58.23
P.alata,59.08
P.alata,59.18
P.alata,59.31
P.alata,60.63
P.alata,60.97
P.alata,60.97
P.alata,60.97
P.alata,61.01
P.alata,61.59
P.alata,61.91
P.alata,62.05
P.alata,62.74
P.alata,63.23
P.alata,63.3
P.alata,63.49
P.alata,63.79
P.alata,64.92
P.alata,65.45
P.alata,65.45
P.alata,65.54
P.alata,65.67
P.alata,65.67
P.alata,65.83
P.alata,66.36
P.alata,66.57
P.alata,66.57
P.alata,66.57
P.alata,67.88
P.alata,67.93
P.alata,68.14
P.alata,69.22
P.alata,69.58
P.alata,69.93
P.alata,69.93
P.alata,70.11
P.alata,70.7
P.alata,70.99
P.alata,70.99
P.alata,71.1
P.alata,71.1
P.alata,71.13
P.alata,71.6
P.alata,71.86
P.alata,72.37
P.alata,74.62
P.alata,74.62
P.alata,75.53
P.alata,75.61
P.alata,76.38
P.alata,76.68
P.alata,77.12
P.alata,77.12
P.alata,77.26
P.alata,77.26
P.alata,78.19
P.alata,78.5
P.alata,79.16
P.alata,79.16
P.alata,80.17
P.alata,80.4
P.alata,80.94
P.alata,80.94
P.alata,81.3
P.alata,81.3
P.alata,82.31
P.alata,82.31
P.alata,83.8
P.alata,83.8
P.alata,83.8
P.alata,83.8
P.alata,84.61
P.alata,85.46
P.alata,86.52
P.alata,86.79
P.alata,89.15
P.alata,89.52
P.alata,90.21
P.alata,92.02
P.alata,92.78
P.alata,95.15
P.alata,95.93
P.alata,96.13
P.alata,96.96
P.alata,96.96
P.alata,96.96
P.alata,97.25
P.alata,97.89
P.alata,98.4
P.alata,99.65
P.alata,99.98
P.alata,100.05
P.alata,100.39
P.alata,100.93
P.alata,100.97
P.alata,102.21
P.alata,102.77
P.alata,103.63
P.alata,104.07
P.alata,104.5
P.alata,104.9
P.alata,105
P.alata,107.39
P.alata,108.23
P.alata,108.46
P.alata,108.46
P.alata,109.07
P.alata,109.45
P.alata,109.55
P.alata,111.61
P.alata,113.01
P.alata,114.7
P.alata,114.75
P.alata,115.04
P.alata,115.04
P.alata,115.06
P.alata,117.32
P.alata,117.68
P.alata,118.16
P.alata,118.51
P.alata,118.82
P.alata,119.55
P.alata,120.4
P.alata,120.85
P.alata,122.28
P.alata,122.57
P.alata,123.62
P.alata,123.62
P.alata,123.89
P.alata,124.04
P.alata,125.04
P.alata,125.55
P.alata,126.27
P.alata,126.27
P.alata,126.74
P.alata,127.57
P.alata,128.02
P.alata,130.9
P.alata,131.79
P.alata,132.34
P.alata,133.33
P.alata,133.33
P.alata,133.71
P.alata,135.44
P.alata,136.64
P.alata,138.02
P.alata,138.26
P.alata,138.77
P.alata,140.34
P.alata,142.74
P.alata,143.65
P.alata,144.13
P.alata,144.81
P.alata,146.56
P.alata,147.29
P.alata,149.75
P.alata,149.97
P.alata,150.35
P.alata,153.45
P.alata,154.25
P.alata,154.95
P.alata,155.24
P.alata,155.58
P.alata,156.65
P.alata,157.16
P.alata,158.32
P.alata,159.98
P.alata,160.18
P.alata,161.83
P.alata,161.88
P.alata,162.69
P.alata,163.65
P.alata,163.86
P.alata,164.38
P.alata,164.46
P.alata,164.71
P.alata,165.46
P.alata,166.32
P.alata,167.25
P.alata,168.04
P.alata,168.15
P.alata,168.43
P.alata,169.6
P.alata,170
P.alata,171.49
P.alata,171.9
P.alata,172.13
P.alata,172.26
P.alata,174.75
P.alata,175.46
P.alata,177.24
P.alata,178.48
P.alata,180.33
P.alata,180.5
P.alata,181.64
P.alata,181.64
P.alata,182.69
P.alata,182.78
P.alata,185.38
P.alata,185.44
P.alata,187.24
P.alata,189.13
P.alata,189.31
P.alata,193.79
P.alata,195.63
P.alata,196.63
P.alata,197.31
P.alata,197.74
P.alata,198.67
P.alata,202.03
P.alata,202.3
P.alata,203.89
P.alata,205.82
P.alata,206.06
P.alata,206.15
P.alata,207.4
P.alata,209.25
P.alata,210.51
P.alata,212.07
P.alata,213.93
P.alata,214.17
P.alata,214.2
P.alata,216.35
P.alata,217.01
P.alata,223.86
P.alata,227.61
P.alata,229.15
P.alata,252.87
P.alata,265.8
P.alata,280
P.baileyi,46.99
P.baileyi,46.99
P.baileyi,47.92
P.baileyi,48.14
P.baileyi,48.18
P.baileyi,48.33
P.baileyi,48.51
P.baileyi,49.63
P.baileyi,49.77
P.baileyi,49.77
P.baileyi,51.34
P.baileyi,51.99
P.baileyi,52.23
P.baileyi,52.26
P.baileyi,52.97
P.baileyi,53.2
P.baileyi,53.2
P.baileyi,53.46
P.baileyi,53.83
P.baileyi,54.8
P.baileyi,55.28
P.baileyi,55.89
P.baileyi,57.51
P.baileyi,57.66
P.baileyi,58.99
P.baileyi,58.99
P.baileyi,61.66
P.baileyi,61.66
P.baileyi,62.48
P.baileyi,62.48
P.baileyi,63.05
P.baileyi,63.19
P.baileyi,64.35
P.baileyi,64.6
P.baileyi,65.25
P.baileyi,66.22
P.baileyi,68.14
P.baileyi,68.32
P.baileyi,68.96
P.baileyi,69.01
P.baileyi,69.95
P.baileyi,70.18
P.baileyi,70.18
P.baileyi,71.45
P.baileyi,72.04
P.baileyi,75.77
P.baileyi,76.05
P.baileyi,78.23
P.baileyi,78.54
P.baileyi,79.97
P.baileyi,80.3
P.baileyi,80.3
P.baileyi,82.06
P.baileyi,84.42
P.baileyi,88.04
P.baileyi,37.072
P.bracetosa,38.09
P.bracetosa,38.23
P.bracetosa,38.99
P.bracetosa,39.15
P.bracetosa,39.27
P.bracetosa,39.27
P.bracetosa,39.57
P.bracetosa,39.57
P.bracetosa,39.78
P.bracetosa,39.78
P.bracetosa,40.01
P.bracetosa,40.18
P.bracetosa,40.25
P.bracetosa,40.41
P.bracetosa,41.13
P.bracetosa,41.35
P.bracetosa,41.95
P.bracetosa,42.27
P.bracetosa,42.27
P.bracetosa,42.59
P.bracetosa,42.59
P.bracetosa,42.86
P.bracetosa,43.12
P.bracetosa,43.12
P.bracetosa,43.24
P.bracetosa,43.34
P.bracetosa,43.9
P.bracetosa,44.47
P.bracetosa,44.92
P.bracetosa,45.12
P.bracetosa,45.57
P.bracetosa,45.72
P.bracetosa,45.87
P.bracetosa,45.97
P.bracetosa,46.9
P.bracetosa,47.14
P.bracetosa,47.28
P.bracetosa,47.28
P.bracetosa,47.62
P.bracetosa,47.73
P.bracetosa,47.86
P.bracetosa,47.86
P.bracetosa,48.56
P.bracetosa,49.39
P.bracetosa,49.67
P.bracetosa,49.91
P.bracetosa,50
P.bracetosa,50.23
P.bracetosa,50.26
P.bracetosa,51.39
P.bracetosa,51.55
P.bracetosa,51.55
P.bracetosa,52.21
P.bracetosa,52.38
P.bracetosa,52.6
P.bracetosa,52.6
P.bracetosa,52.68
P.bracetosa,52.68
P.bracetosa,53.75
P.bracetosa,54.29
P.bracetosa,54.29
P.bracetosa,54.42
P.bracetosa,54.42
P.bracetosa,54.42
P.bracetosa,54.58
P.bracetosa,54.58
P.bracetosa,54.96
P.bracetosa,55.01
P.bracetosa,55.74
P.bracetosa,55.79
P.bracetosa,56.22
P.bracetosa,56.7
P.bracetosa,56.82
P.bracetosa,56.87
P.bracetosa,57.07
P.bracetosa,57.34
P.bracetosa,57.34
P.bracetosa,57.54
P.bracetosa,57.63
P.bracetosa,58.9
P.bracetosa,58.91
P.bracetosa,59.05
P.bracetosa,59.52
P.bracetosa,59.97
P.bracetosa,60.27
P.bracetosa,60.28
P.bracetosa,60.98
P.bracetosa,61.55
P.bracetosa,61.62
P.bracetosa,62.5
P.bracetosa,62.6
P.bracetosa,62.86
P.bracetosa,62.92
P.bracetosa,63.06
P.bracetosa,63.53
P.bracetosa,63.72
P.bracetosa,63.79
P.bracetosa,63.79
P.bracetosa,63.89
P.bracetosa,63.92
P.bracetosa,64.38
P.bracetosa,64.46
P.bracetosa,64.53
P.bracetosa,64.99
P.bracetosa,64.99
P.bracetosa,65.01
P.bracetosa,65.01
P.bracetosa,65.3
P.bracetosa,65.6
P.bracetosa,66.05
P.bracetosa,66.15
P.bracetosa,66.2
P.bracetosa,66.32
P.bracetosa,66.32
P.bracetosa,66.53
P.bracetosa,66.7
P.bracetosa,66.84
P.bracetosa,66.87
P.bracetosa,66.87
P.bracetosa,67.22
P.bracetosa,67.34
P.bracetosa,67.34
P.bracetosa,68.05
P.bracetosa,68.18
P.bracetosa,68.18
P.bracetosa,68.58
P.bracetosa,68.68
P.bracetosa,68.68
P.bracetosa,68.97
P.bracetosa,69.37
P.bracetosa,69.76
P.bracetosa,69.85
P.bracetosa,70.31
P.bracetosa,70.96
P.bracetosa,71.17
P.bracetosa,72.51
P.bracetosa,72.57
P.bracetosa,72.84
P.bracetosa,73.13
P.bracetosa,73.28
P.bracetosa,73.28
P.bracetosa,73.52
P.bracetosa,73.52
P.bracetosa,73.92
P.bracetosa,74.08
P.bracetosa,74.08
P.bracetosa,74.29
P.bracetosa,74.42
P.bracetosa,74.53
P.bracetosa,75.02
P.bracetosa,75.26
P.bracetosa,75.26
P.bracetosa,75.78
P.bracetosa,76.25
P.bracetosa,76.34
P.bracetosa,76.46
P.bracetosa,76.67
P.bracetosa,76.96
P.bracetosa,77.4
P.bracetosa,77.98
P.bracetosa,78.1
P.bracetosa,78.13
