Species,Wide_Vessel_Diameter
P. micrantha_RX,61.17
P. micrantha_RX,61.58
P. micrantha_VX,62.07
P. micrantha_RX,62.51
P. micrantha_RX,62.7
P. micrantha_RX,62.7
P. micrantha_RX,62.96
P. micrantha_VX,64.84
P. micrantha_VX,65.02
P. micrantha_RX,66.25
P. micrantha_RX,68.85
P. micrantha_RX,69.25
P. micrantha_RX,69.35
P. micrantha_VX,69.65
P. micrantha_RX,71
P. micrantha_VX,72.26
P. micrantha_VX,72.26
P. micrantha_RX,73.12
P. micrantha_VX,73.12
P. micrantha_RX,73.15
P. micrantha_VX,73.4
P. micrantha_RX,75.39
P. micrantha_VX,76.03
P. micrantha_VX,81.97
P. micrantha_RX,82.17
P. micrantha_VX,82.42
P. micrantha_RX,83.76
P. micrantha_VX,84.64
P. micrantha_VX,86.05
P. micrantha_VX,86.05
P. micrantha_RX,86.13
P. micrantha_VX,86.56
P. micrantha_VX,86.56
P. micrantha_VX,86.69
P. micrantha_RX,87.09
P. micrantha_VX,89.45
P. micrantha_RX,90.55
P. micrantha_RX,90.65
P. micrantha_RX,91.24
P. micrantha_RX,91.87
P. micrantha_RX,92.37
P. micrantha_RX,92.77
P. micrantha_RX,93.94
P. micrantha_VX,94.72
P. micrantha_RX,100.41
P. micrantha_VX,100.78
P. micrantha_RX,100.8
P. micrantha_RX,101.08
P. micrantha_VX,101.1
P. micrantha_VX,103.25
P. micrantha_VX,108.06
P. micrantha_RX,108.68
P. micrantha_RX,109.76
P. micrantha_VX,110.1
P. micrantha_VX,114
P. micrantha_VX,116.31
P. micrantha_VX,117.04
P. micrantha_VX,117.4
P. micrantha_VX,121.08
P. micrantha_RX,121.2
P. micrantha_VX,121.2
P. micrantha_RX,123.26
P. micrantha_VX,124.45
P. micrantha_VX,124.69
P. micrantha_RX,124.73
P. micrantha_RX,124.75
P. micrantha_RX,127.39
P. micrantha_VX,127.83
P. micrantha_RX,130.83
P. micrantha_RX,131.25
P. micrantha_VX,134.18
P. micrantha_RX,135.91
P. micrantha_VX,136.1
P. micrantha_RX,137.9
P. micrantha_RX,139.85
P. micrantha_RX,140.38
P. micrantha_VX,140.44
P. micrantha_RX,144.23
P. micrantha_VX,144.23
P. micrantha_VX,144.26
P. micrantha_VX,145.43
P. micrantha_VX,146.01
P. micrantha_RX,146.25
P. micrantha_VX,146.3
P. micrantha_RX,146.38
P. micrantha_RX,146.49
P. micrantha_RX,146.63
P. micrantha_RX,147.65
P. micrantha_VX,149.07
P. micrantha_VX,149.15
P. micrantha_RX,152.32
P. micrantha_RX,152.75
P. micrantha_RX,152.82
P. micrantha_RX,152.82
P. micrantha_RX,152.82
P. micrantha_RX,152.93
P. micrantha_RX,153.79
P. micrantha_VX,153.95
P. micrantha_RX,154.85
P. micrantha_RX,154.9
P. micrantha_RX,154.9
P. micrantha_VX,154.97
P. micrantha_RX,156.81
P. micrantha_RX,158.18
P. micrantha_VX,159.1
P. micrantha_RX,159.5
P. micrantha_VX,159.68
P. micrantha_RX,160.07
P. micrantha_VX,160.84
P. micrantha_VX,163.02
P. micrantha_VX,163.02
P. micrantha_RX,163.79
P. micrantha_RX,164.85
P. micrantha_VX,165.26
P. micrantha_VX,166.09
P. micrantha_VX,166.61
P. micrantha_RX,166.65
P. micrantha_RX,167.59
P. micrantha_VX,167.76
P. micrantha_RX,170.15
P. micrantha_RX,172.04
P. micrantha_RX,172.1
P. micrantha_VX,172.16
P. micrantha_VX,174.25
P. micrantha_RX,174.41
P. micrantha_RX,176.55
P. micrantha_VX,177.25
P. micrantha_RX,178.55
P. micrantha_RX,178.7
P. micrantha_RX,179.79
P. micrantha_RX,179.79
P. micrantha_RX,180.7
P. micrantha_RX,182.91
P. micrantha_RX,185
P. micrantha_RX,187.05
P. micrantha_RX,187.15
P. micrantha_RX,189.25
P. micrantha_RX,189.84
P. micrantha_RX,192.17
P. micrantha_RX,192.17
P. micrantha_VX,192.46
P. micrantha_RX,194.13
P. micrantha_VX,196.55
P. micrantha_RX,197.69
P. micrantha_RX,198.04
P. micrantha_RX,198.14
P. micrantha_VX,198.81
P. micrantha_RX,199.4
P. micrantha_RX,199.81
P. micrantha_RX,200.88
P. micrantha_RX,201.94
P. micrantha_RX,202.02
P. micrantha_VX,202.07
P. micrantha_VX,202.33
P. micrantha_RX,204.38
P. micrantha_VX,207.61
P. micrantha_RX,208.78
P. micrantha_RX,211.42
P. micrantha_VX,212.9
P. micrantha_VX,213
P. micrantha_RX,213.77
P. micrantha_VX,214.46
P. micrantha_RX,215.92
P. micrantha_RX,217.37
P. micrantha_RX,217.72
P. micrantha_RX,218.06
P. micrantha_RX,219
P. micrantha_VX,219.36
P. micrantha_VX,219.73
P. micrantha_RX,220.2
P. micrantha_VX,221.5
P. micrantha_RX,222.76
P. micrantha_RX,224.03
P. micrantha_RX,228.12
P. micrantha_RX,232.07
P. micrantha_RX,232.35
P. micrantha_RX,234.89
P. micrantha_RX,236.07
P. micrantha_RX,236.33
P. micrantha_RX,236.8
P. micrantha_VX,237.32
P. micrantha_VX,237.58
P. micrantha_RX,238.47
P. micrantha_RX,238.72
P. micrantha_RX,240.1
P. micrantha_RX,245.17
P. micrantha_RX,246.79
P. micrantha_RX,247.57
P. micrantha_RX,250.95
P. micrantha_RX,252.93
P. micrantha_RX,253.67
P. micrantha_RX,253.99
P. micrantha_RX,258.06
P. micrantha_RX,259.15
P. micrantha_RX,259.35
P. micrantha_RX,260.29
P. micrantha_RX,264.52
P. micrantha_RX,264.94
P. micrantha_RX,265.49
P. micrantha_RX,265.77
P. micrantha_RX,265.99
P. micrantha_RX,269.24
P. micrantha_RX,270.98
P. micrantha_RX,275.48
