Species,Wide_Vessel_Diameter
P. pseudota_RX,9.62
P. pseudota_RX,9.62
P. pseudota_RX,9.62
P. pseudota_RX,9.62
P. pseudota_RX,10.03
P. pseudota_RX,10.03
P. pseudota_RX,10.03
P. pseudota_RX,10.09
P. pseudota_RX,10.27
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.75
P. pseudota_RX,10.97
P. pseudota_RX,10.97
P. pseudota_RX,10.97
P. pseudota_RX,10.97
P. pseudota_RX,10.97
P. pseudota_RX,10.97
P. pseudota_RX,11.14
P. pseudota_RX,11.14
P. pseudota_RX,11.2
P. pseudota_RX,11.2
P. pseudota_RX,11.2
P. pseudota_RX,11.36
P. pseudota_RX,11.36
P. pseudota_RX,11.58
P. pseudota_RX,11.58
P. pseudota_RX,11.58
P. pseudota_RX,11.63
P. pseudota_RX,12.17
P. pseudota_RX,12.17
P. pseudota_RX,12.25
P. pseudota_RX,12.25
P. pseudota_RX,12.25
P. pseudota_RX,12.31
P. pseudota_RX,12.31
P. pseudota_RX,12.31
P. pseudota_RX,12.31
P. pseudota_RX,12.46
P. pseudota_RX,12.46
P. pseudota_RX,12.46
P. pseudota_RX,12.54
P. pseudota_RX,12.54
P. pseudota_RX,12.7
P. pseudota_RX,12.7
P. pseudota_RX,12.7
P. pseudota_RX,12.7
P. pseudota_RX,12.7
P. pseudota_RX,12.9
P. pseudota_RX,12.9
P. pseudota_RX,12.9
P. pseudota_RX,12.9
P. pseudota_RX,12.9
P. pseudota_RX,12.99
P. pseudota_RX,13.04
P. pseudota_RX,13.04
P. pseudota_RX,13.04
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.08
P. pseudota_RX,13.42
P. pseudota_RX,13.42
P. pseudota_RX,13.42
P. pseudota_RX,13.46
P. pseudota_RX,13.55
P. pseudota_RX,13.55
P. pseudota_RX,13.55
P. pseudota_RX,13.55
P. pseudota_RX,13.6
P. pseudota_RX,13.6
P. pseudota_RX,13.6
P. pseudota_RX,13.6
P. pseudota_RX,13.77
P. pseudota_RX,13.77
P. pseudota_RX,13.77
P. pseudota_RX,14.09
P. pseudota_RX,14.09
P. pseudota_RX,14.18
P. pseudota_RX,14.27
P. pseudota_RX,14.43
P. pseudota_RX,14.48
P. pseudota_RX,14.48
P. pseudota_RX,14.48
P. pseudota_RX,14.48
P. pseudota_RX,14.48
P. pseudota_RX,14.53
P. pseudota_RX,14.53
P. pseudota_RX,14.53
P. pseudota_RX,14.53
P. pseudota_RX,14.53
P. pseudota_RX,14.53
P. pseudota_RX,14.65
P. pseudota_RX,14.65
P. pseudota_RX,14.65
P. pseudota_RX,14.65
P. pseudota_RX,14.65
P. pseudota_RX,14.65
P. pseudota_RX,14.86
P. pseudota_RX,14.86
P. pseudota_RX,14.95
P. pseudota_RX,15.05
P. pseudota_RX,15.05
P. pseudota_RX,15.05
P. pseudota_RX,15.05
P. pseudota_RX,15.05
P. pseudota_RX,15.05
P. pseudota_RX,15.05
P. pseudota_RX,15.05
P. pseudota_RX,15.05
P. pseudota_RX,15.15
P. pseudota_RX,15.15
P. pseudota_RX,15.15
P. pseudota_RX,15.15
P. pseudota_RX,15.15
P. pseudota_RX,15.15
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.21
P. pseudota_RX,15.51
P. pseudota_RX,15.51
P. pseudota_RX,15.52
P. pseudota_RX,15.52
P. pseudota_RX,15.52
P. pseudota_RX,15.52
P. pseudota_RX,15.64
P. pseudota_RX,15.64
P. pseudota_RX,15.64
P. pseudota_RX,15.64
P. pseudota_RX,15.64
P. pseudota_RX,15.64
P. pseudota_RX,15.64
P. pseudota_RX,15.66
P. pseudota_RX,15.66
P. pseudota_RX,15.66
P. pseudota_RX,15.66
P. pseudota_RX,15.76
P. pseudota_RX,15.95
P. pseudota_RX,15.95
P. pseudota_RX,15.95
P. pseudota_RX,15.95
P. pseudota_RX,15.95
P. pseudota_RX,15.95
P. pseudota_RX,16.07
P. pseudota_RX,16.07
P. pseudota_RX,16.07
P. pseudota_RX,16.22
P. pseudota_RX,16.22
P. pseudota_RX,16.38
P. pseudota_RX,16.38
P. pseudota_RX,16.45
P. pseudota_RX,16.45
P. pseudota_RX,16.45
P. pseudota_RX,16.56
P. pseudota_RX,16.56
P. pseudota_RX,16.56
P. pseudota_RX,16.71
P. pseudota_RX,16.71
P. pseudota_RX,16.75
P. pseudota_RX,16.75
P. pseudota_RX,16.75
P. pseudota_RX,16.75
P. pseudota_RX,16.75
P. pseudota_RX,16.75
P. pseudota_RX,16.75
P. pseudota_RX,16.8
P. pseudota_RX,16.8
P. pseudota_RX,16.8
P. pseudota_RX,16.8
P. pseudota_RX,16.86
P. pseudota_RX,16.86
P. pseudota_RX,16.86
P. pseudota_RX,17.01
P. pseudota_RX,17.04
P. pseudota_RX,17.04
P. pseudota_RX,17.04
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.2
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.34
P. pseudota_RX,17.4
P. pseudota_RX,17.4
P. pseudota_RX,17.44
P. pseudota_RX,17.44
P. pseudota_RX,17.44
P. pseudota_RX,17.44
P. pseudota_RX,17.44
P. pseudota_RX,17.44
P. pseudota_RX,17.62
P. pseudota_RX,17.62
P. pseudota_RX,17.73
P. pseudota_RX,17.73
P. pseudota_RX,17.73
P. pseudota_RX,17.73
P. pseudota_RX,17.73
P. pseudota_RX,17.73
P. pseudota_RX,17.73
P. pseudota_RX,17.73
P. pseudota_RX,17.73
P. pseudota_RX,17.73
P. pseudota_RX,17.73
P. pseudota_RX,17.83
P. pseudota_RX,17.83
P. pseudota_RX,17.96
P. pseudota_RX,17.96
P. pseudota_RX,17.96
P. pseudota_RX,17.96
P. pseudota_RX,18
P. pseudota_RX,18
P. pseudota_RX,18
P. pseudota_RX,18.14
P. pseudota_RX,18.14
P. pseudota_RX,18.27
P. pseudota_RX,18.27
P. pseudota_RX,18.37
P. pseudota_RX,18.37
P. pseudota_RX,18.37
P. pseudota_RX,18.37
P. pseudota_RX,18.37
P. pseudota_RX,18.37
P. pseudota_RX,18.44
P. pseudota_RX,18.44
