Species,Wide_Vessel_Diameter
P. trigonia_RX,45.16
P. trigonia_RX,45.21
P. trigonia_RX,45.37
P. trigonia_RX,45.62
P. trigonia_RX,45.62
P. trigonia_RX,45.72
P. trigonia_RX,46.17
P. trigonia_RX,46.42
P. trigonia_RX,47.31
P. trigonia_RX,47.6
P. trigonia_RX,47.75
P. trigonia_RX,49.09
P. trigonia_RX,49.13
P. trigonia_RX,49.51
P. trigonia_RX,49.65
P. trigonia_RX,49.65
P. trigonia_RX,50.2
P. trigonia_RX,51.79
P. trigonia_RX,52.01
P. trigonia_RX,52.32
P. trigonia_RX,52.37
P. trigonia_RX,53.11
P. trigonia_RX,53.76
P. trigonia_RX,54.28
P. trigonia_RX,55.29
P. trigonia_RX,55.91
P. trigonia_RX,56.08
P. trigonia_RX,56.28
P. trigonia_RX,57.14
P. trigonia_RX,58.22
P. trigonia_RX,60.83
P. trigonia_RX,61.17
P. trigonia_RX,64.52
P. trigonia_RX,66.7
P. trigonia_RX,71.1
P. trigonia_RX,71.78
P. trigonia_RX,76.03
P. trigonia_RX,76.37
P. trigonia_RX,76.58
P. trigonia_RX,78.28
P. trigonia_RX,79.31
P. trigonia_RX,81.61
P. trigonia_RX,81.97
P. trigonia_RX,84.12
P. trigonia_RX,87.14
P. trigonia_RX,87.75
P. trigonia_RX,99.51
P. trigonia_RX,99.76
P. trigonia_RX,101.65
P. trigonia_RX,101.96
P. trigonia_RX,102.24
P. trigonia_RX,102.8
P. trigonia_RX,103.32
P. trigonia_RX,105.57
P. trigonia_RX,106.23
P. trigonia_RX,107.61
P. trigonia_RX,110.2
P. trigonia_RX,112.53
P. trigonia_RX,113.98
P. trigonia_RX,116.15
P. trigonia_RX,116.45
P. trigonia_RX,118.46
P. trigonia_RX,122.58
P. trigonia_RX,123.63
P. trigonia_RX,126
P. trigonia_RX,126.95
P. trigonia_RX,127.17
P. trigonia_RX,131.82
P. trigonia_RX,132.85
P. trigonia_RX,133.35
P. trigonia_RX,133.61
P. trigonia_RX,133.77
P. trigonia_RX,138.66
P. trigonia_RX,140.84
P. trigonia_RX,144.23
P. trigonia_RX,146.38
P. trigonia_RX,146.8
P. trigonia_RX,148.78
P. trigonia_RX,151.1
P. trigonia_RX,153.95
P. trigonia_RX,155.27
P. trigonia_RX,157
P. trigonia_RX,159.27
P. trigonia_RX,162.38
P. trigonia_RX,163.36
P. trigonia_RX,163.5
P. trigonia_RX,165.81
P. trigonia_RX,168.7
P. trigonia_RX,170.11
P. trigonia_RX,170.38
P. trigonia_RX,172.38
P. trigonia_RX,174.25
P. trigonia_RX,175.5
P. trigonia_RX,177.56
P. trigonia_RX,178.55
P. trigonia_RX,178.7
P. trigonia_RX,180.35
P. trigonia_RX,180.64
P. trigonia_RX,182.85
P. trigonia_RX,183.5
P. trigonia_RX,183.82
P. trigonia_RX,184.61
P. trigonia_RX,185.62
P. trigonia_RX,186.94
P. trigonia_RX,188.38
P. trigonia_RX,190.9
P. trigonia_RX,192.55
P. trigonia_RX,192.99
P. trigonia_RX,195.18
P. trigonia_RX,195.8
P. trigonia_RX,195.89
P. trigonia_RX,196.28
P. trigonia_RX,196.65
P. trigonia_RX,198.14
P. trigonia_RX,198.14
P. trigonia_RX,200.05
P. trigonia_RX,201.75
P. trigonia_RX,203.86
P. trigonia_RX,207
P. trigonia_RX,207.57
P. trigonia_RX,208.78
P. trigonia_RX,211.15
P. trigonia_RX,211.26
P. trigonia_RX,212.08
P. trigonia_RX,219.52
P. trigonia_RX,224.52
P. trigonia_RX,227.1
P. trigonia_RX,237.96
P. trigonia_RX,247.26
P. trigonia_RX,260.53
P. trigonia_RX,266.74
P. trigonia_VX,45.21
P. trigonia_VX,45.21
P. trigonia_VX,45.62
P. trigonia_VX,45.62
P. trigonia_VX,45.62
P. trigonia_VX,46.42
P. trigonia_VX,48.52
P. trigonia_VX,49.46
P. trigonia_VX,49.51
P. trigonia_VX,51.66
P. trigonia_VX,51.66
P. trigonia_VX,52.06
P. trigonia_VX,52.32
P. trigonia_VX,52.72
P. trigonia_VX,53.42
P. trigonia_VX,53.94
P. trigonia_VX,53.94
P. trigonia_VX,54.74
P. trigonia_VX,58.06
P. trigonia_VX,58.42
P. trigonia_VX,58.74
P. trigonia_VX,60.37
P. trigonia_VX,61.58
P. trigonia_VX,62.7
P. trigonia_VX,70.05
P. trigonia_VX,72.77
P. trigonia_VX,80.35
P. trigonia_VX,86.13
P. trigonia_VX,86.58
P. trigonia_VX,87.57
P. trigonia_VX,89.11
P. trigonia_VX,91.26
P. trigonia_VX,95.52
P. trigonia_VX,101.1
P. trigonia_VX,102.8
P. trigonia_VX,103.32
P. trigonia_VX,103.78
P. trigonia_VX,120.43
P. trigonia_VX,120.6
P. trigonia_VX,120.74
P. trigonia_VX,120.91
P. trigonia_VX,122.66
P. trigonia_VX,123.78
P. trigonia_VX,125.62
P. trigonia_VX,125.73
P. trigonia_VX,127.17
P. trigonia_VX,133.97
P. trigonia_VX,137.7
P. trigonia_VX,138.39
P. trigonia_VX,153.91
P. trigonia_VX,159.23
P. trigonia_VX,191.05
P. trigonia_VX,198.27
P. trigonia_VX,199.57
P. trigonia_VX,200.05
P. trigonia_VX,237.35
