Species,Wide_Vessel_Diameter
P.weinmaniifolia_RX,40.18
P.weinmaniifolia_RX,40.4
P.weinmaniifolia_RX,40.4
P.weinmaniifolia_RX,40.58
P.weinmaniifolia_RX,40.58
P.weinmaniifolia_RX,40.58
P.weinmaniifolia_RX,40.8
P.weinmaniifolia_RX,40.92
P.weinmaniifolia_RX,40.92
P.weinmaniifolia_RX,41.37
P.weinmaniifolia_RX,41.37
P.weinmaniifolia_RX,41.37
P.weinmaniifolia_RX,41.76
P.weinmaniifolia_RX,41.76
P.weinmaniifolia_RX,42.36
P.weinmaniifolia_RX,42.36
P.weinmaniifolia_RX,42.36
P.weinmaniifolia_RX,42.42
P.weinmaniifolia_VX,42.42
P.weinmaniifolia_RX,42.58
P.weinmaniifolia_RX,43.01
P.weinmaniifolia_RX,43.01
P.weinmaniifolia_RX,43.01
P.weinmaniifolia_RX,43.06
P.weinmaniifolia_RX,43.06
P.weinmaniifolia_RX,43.23
P.weinmaniifolia_RX,43.23
P.weinmaniifolia_RX,43.23
P.weinmaniifolia_RX,43.23
P.weinmaniifolia_RX,43.23
P.weinmaniifolia_RX,43.23
P.weinmaniifolia_RX,43.23
P.weinmaniifolia_RX,43.49
P.weinmaniifolia_RX,43.54
P.weinmaniifolia_RX,43.54
P.weinmaniifolia_RX,44.28
P.weinmaniifolia_RX,44.28
P.weinmaniifolia_VX,44.28
P.weinmaniifolia_RX,44.33
P.weinmaniifolia_VX,44.33
P.weinmaniifolia_VX,44.33
P.weinmaniifolia_VX,44.33
P.weinmaniifolia_RX,44.75
P.weinmaniifolia_RX,45.21
P.weinmaniifolia_RX,45.21
P.weinmaniifolia_RX,45.37
P.weinmaniifolia_RX,45.37
P.weinmaniifolia_RX,45.37
P.weinmaniifolia_RX,45.57
P.weinmaniifolia_RX,45.62
P.weinmaniifolia_RX,45.62
P.weinmaniifolia_RX,45.97
P.weinmaniifolia_RX,45.97
P.weinmaniifolia_RX,45.97
P.weinmaniifolia_VX,45.97
P.weinmaniifolia_RX,46.02
P.weinmaniifolia_VX,46.32
P.weinmaniifolia_RX,46.42
P.weinmaniifolia_RX,46.42
P.weinmaniifolia_RX,46.97
P.weinmaniifolia_RX,47.21
P.weinmaniifolia_RX,47.31
P.weinmaniifolia_RX,47.36
P.weinmaniifolia_RX,47.36
P.weinmaniifolia_RX,47.6
P.weinmaniifolia_RX,49.13
