Species,Feret
P.alata,10.262
P.alata,10.654
P.alata,10.654
P.alata,10.818
P.alata,10.885
P.alata,10.885
P.alata,11.15
P.alata,11.15
P.alata,11.294
P.alata,11.651
P.alata,11.651
P.alata,11.651
P.alata,11.701
P.alata,11.701
P.alata,11.701
P.alata,11.875
P.alata,12.094
P.alata,12.094
P.alata,12.094
P.alata,12.155
P.alata,12.334
P.alata,12.334
P.alata,12.334
P.alata,12.334
P.alata,12.334
P.alata,12.346
P.alata,12.346
P.alata,12.487
P.alata,12.615
P.alata,12.615
P.alata,12.615
P.alata,12.662
P.alata,12.662
P.alata,12.902
P.alata,13.071
P.alata,13.071
P.alata,13.071
P.alata,13.082
P.alata,13.16
P.alata,13.205
P.alata,13.205
P.alata,13.205
P.alata,13.205
P.alata,13.381
P.alata,13.381
P.alata,13.554
P.alata,13.554
P.alata,13.554
P.alata,13.554
P.alata,13.554
P.alata,13.554
P.alata,13.565
P.alata,13.619
P.alata,13.683
P.alata,13.683
P.alata,13.683
P.alata,13.694
P.alata,13.769
P.alata,13.822
P.alata,13.853
P.alata,13.853
P.alata,13.853
P.alata,13.853
P.alata,14.063
P.alata,14.063
P.alata,14.104
P.alata,14.228
P.alata,14.28
P.alata,14.28
P.alata,14.371
P.alata,14.371
P.alata,14.402
P.alata,14.432
P.alata,14.513
P.alata,14.513
P.alata,14.554
P.alata,14.564
P.alata,14.713
P.alata,14.882
P.alata,14.96
P.alata,15.028
P.alata,15.038
P.alata,15.067
P.alata,15.298
P.alata,15.488
P.alata,15.488
P.alata,15.488
P.alata,15.601
P.alata,15.601
P.alata,15.751
P.alata,15.834
P.alata,15.972
P.alata,16.018
P.alata,16.081
P.alata,16.235
P.alata,16.235
P.alata,16.271
P.alata,16.37
P.alata,16.477
P.alata,16.477
P.alata,16.662
P.alata,16.898
P.alata,16.898
P.alata,16.898
P.alata,17.078
P.alata,17.104
P.alata,17.104
P.alata,17.181
P.alata,17.418
P.alata,17.418
P.alata,17.443
P.alata,17.46
P.alata,17.476
P.alata,17.476
P.alata,17.518
P.alata,17.61
P.alata,17.742
P.alata,17.742
P.alata,17.742
P.alata,17.742
P.alata,17.742
P.alata,17.841
P.alata,17.841
P.alata,17.841
P.alata,17.906
P.alata,17.906
P.alata,17.98
P.alata,18.004
P.alata,18.077
P.alata,18.302
P.alata,18.302
P.alata,18.39
P.alata,18.39
P.alata,18.39
P.alata,18.422
P.alata,18.485
P.alata,18.485
P.alata,18.485
P.alata,18.485
P.alata,18.517
P.alata,18.517
P.alata,18.517
P.alata,18.588
P.alata,18.611
P.alata,18.611
P.alata,18.776
P.alata,18.892
P.alata,18.892
P.alata,18.892
P.alata,18.892
P.alata,18.923
P.alata,18.923
P.alata,18.923
P.alata,18.931
P.alata,18.992
P.alata,19
P.alata,19.138
P.alata,19.207
P.alata,19.26
P.alata,19.328
P.alata,19.502
P.alata,19.502
P.alata,19.591
P.alata,19.599
P.alata,19.659
P.alata,19.858
P.alata,19.858
P.alata,19.947
P.alata,19.947
P.alata,19.947
P.alata,19.947
P.alata,19.954
P.alata,20.122
P.alata,20.122
P.alata,20.122
P.alata,20.36
P.alata,20.411
P.alata,20.411
P.alata,20.475
P.alata,20.525
P.alata,20.56
P.alata,20.582
P.alata,20.667
P.alata,20.667
P.alata,20.702
P.alata,20.702
P.alata,20.709
P.alata,20.78
P.alata,20.78
P.alata,20.808
P.alata,20.808
P.alata,20.808
P.alata,20.808
P.alata,20.892
P.alata,21.004
P.alata,21.472
P.alata,21.533
P.alata,21.723
P.alata,21.877
P.alata,21.877
P.alata,21.904
P.alata,21.904
P.alata,21.904
